지점,일시,합계 강수량(mm),산성도(pH)(null),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2020-01-01,,,,,,,,,,,,
132,2020-01-02,,,,,,,,,,,,
132,2020-01-03,,,,,,,,,,,,
132,2020-01-04,,,,,,,,,,,,
132,2020-01-05,1.5,5.81,49.5,.94744820616473,291.543380334925,35.6422869123458,62.958290132787,257.592497542388,69.2407905313635,7.82648728835235,48.3028183501337,22.9552372872898
132,2020-01-06,22,5.41,5.4,.210544045814384,4.96436096545538,10.5797919522619,8.49437247823317,4.39325265987525,15.9104138370707,.255767558442887,2.13947747377083,1.74659414142422
132,2020-01-07,11,4.64,39.4,.210544045814384,165.826580204046,26.2720748326748,43.7626738952111,144.063889203038,25.3901377609003,3.06921070131465,32.2567372968525,10.9785917460951
132,2020-01-08,,,,,,,,,,,,
132,2020-01-09,,,,,,,,,,,,
132,2020-01-10,,,,,,,,,,,,
132,2020-01-11,,,,,,,,,,,,
132,2020-01-12,,,,,,,,,,,,
132,2020-01-13,,,,,,,,,,,,
132,2020-01-14,,,,,,,,,,,,
132,2020-01-15,,,,,,,,,,,,
132,2020-01-16,,,,,,,,,,,,
132,2020-01-17,,,,,,,,,,,,
132,2020-01-18,,,,,,,,,,,,
132,2020-01-19,,,,,,,,,,,,
132,2020-01-20,,,,,,,,,,,,
132,2020-01-21,,,,,,,,,,,,
132,2020-01-22,,,,,,,,,,,,
132,2020-01-23,,,,,,,,,,,,
132,2020-01-24,,,,,,,,,,,,
132,2020-01-25,,,,,,,,,,,,
132,2020-01-26,,,,,,,,,,,,
132,2020-01-27,3,6.23,29.7,1.00008421761833,134.545464802399,22.8368679945166,47.0521612764877,126.751863870064,66.0808825567536,3.70862959742186,26.8257560172804,17.7154548630171
132,2020-01-28,,,,,,,,,,,,
132,2020-01-29,,,,,,,,,,,,
132,2020-01-30,,,,,,,,,,,,
132,2020-01-31,,,,,,,,,,,,
132,2020-02-01,,,,,,,,,,,,
132,2020-02-02,,,,,,,,,,,,
132,2020-02-03,,,,,,,,,,,,
132,2020-02-04,,,,,,,,,,,,
132,2020-02-05,,,,,,,,,,,,
132,2020-02-06,,,,,,,,,,,,
132,2020-02-07,,,,,,,,,,,,
132,2020-02-08,,,,,,,,,,,,
132,2020-02-09,,,,,,,,,,,,
132,2020-02-10,,,,,,,,,,,,
132,2020-02-11,2.5,6.09,20.8,3.00025265285498,24.2576728993842,36.5615676155149,50.3208291173764,18.4864592123463,122.349419297613,1.86710317663308,5.18411849413701,4.89046359598782
132,2020-02-12,1.5,6.2,13.3,1.73698837796867,32.0709001006975,13.4989113781147,28.1896576851169,29.7958224951935,61.4241760678549,1.61133561819019,5.59555646986217,2.19571834921902
132,2020-02-13,,,,,,,,,,,,
132,2020-02-14,,,,,,,,,,,,
132,2020-02-15,10,4.94,35.4,.684268148896749,104.646472624088,58.704943149746,62.7292751885209,91.301359733447,78.6650774731824,3.09478745715893,21.6416375231434,14.8710015469834
132,2020-02-16,,,,,,,,,,,,
132,2020-02-17,,,,,,,,,,,,
132,2020-02-18,,,,,,,,,,,,
132,2020-02-19,,,,,,,,,,,,
132,2020-02-20,,,,,,,,,,,,
132,2020-02-21,4,4.8,61.6,.894812194711134,242.74596857221,73.752116764777,80.5508017605004,222.011500752508,64.1960251683898,7.36610568315515,58.5887677432627,38.4749738010879
132,2020-02-22,,,,,,,,,,,,
132,2020-02-23,26.5,5.25,11.3,.526360114535961,8.34915253281132,19.272639303282,26.8572071002961,7.26409103167492,42.0766693461208,2.86459665456034,3.78522937667147,6.03822546035231
132,2020-02-24,10.5,5.05,14.3,.421088091628769,5.838765453689,31.3845657608257,31.062754258637,3.87128204682076,64.4732100784433,2.91575016624891,2.55091544949599,3.49318828284844
132,2020-02-25,,,,,,,,,,,,
132,2020-02-26,,,,,,,,,,,,
132,2020-02-27,,,,,,,,,,,,
132,2020-02-28,4.5,5.08,17.4,.421088091628769,15.598247806232,40.5612450608822,38.2663152328249,15.4416306361952,63.8634032763256,1.27883779221444,6.82987039703765,8.78287339687609
132,2020-02-29,,,,,,,,,,,,
132,2020-03-01,,,,,,,,,,,,
132,2020-03-02,,,,,,,,,,,,
132,2020-03-03,,,,,,,,,,,,
132,2020-03-04,,,,,,,,,,,,
132,2020-03-05,,,,,,,,,,,,
132,2020-03-06,,,,,,,,,,,,
132,2020-03-07,,,,,,,,,,,,
132,2020-03-08,,,,,,,,,,,,
132,2020-03-09,9.5,5.56,26.6,1.15799225197911,67.1034928228316,47.7703411015241,56.4625935317852,62.2014980556595,78.4987665271502,2.09729397923167,16.1283686484262,20.7096162483158
132,2020-03-10,1.5,5.27,18.4,.578996125989557,49.1923041122397,30.5620514474639,33.3737232416857,46.4118870107613,36.7547190730937,1.56018210650161,11.6025509154495,11.0284944358501
132,2020-03-11,,,,,,,,,,,,
132,2020-03-12,,,,,,,,,,,,
132,2020-03-13,,,,,,,,,,,,
132,2020-03-14,,,,,,,,,,,,
132,2020-03-15,,,,,,,,,,,,
132,2020-03-16,,,,,,,,,,,,
132,2020-03-17,,,,,,,,,,,,
132,2020-03-18,,,,,,,,,,,,
132,2020-03-19,,,,,,,,,,,,
132,2020-03-20,,,,,,,,,,,,
132,2020-03-21,,,,,,,,,,,,
132,2020-03-22,,,,,,,,,,,,
132,2020-03-23,,,,,,,,,,,,
132,2020-03-24,,,,,,,,,,,,
132,2020-03-25,,,,,,,,,,,,
132,2020-03-26,18,5.56,8.3,.368452080175173,8.57480530396839,17.9017821143456,16.2808805832802,6.82911552079618,39.1939462815644,1.04864698961584,2.55091544949599,2.6947452467688
132,2020-03-27,,,,,,,,,,,,
132,2020-03-28,,,,,,,,,,,,
132,2020-03-29,,,,,,,,,,,,
132,2020-03-30,,,,,,,,,,,,
132,2020-03-31,,,,,,,,,,,,
132,2020-04-01,,,,,,,,,,,,
132,2020-04-02,,,,,,,,,,,,
132,2020-04-03,,,,,,,,,,,,
132,2020-04-04,,,,,,,,,,,,
132,2020-04-05,,,,,,,,,,,,
132,2020-04-06,,,,,,,,,,,,
132,2020-04-07,,,,,,,,,,,,
132,2020-04-08,,,,,,,,,,,,
132,2020-04-09,,,,,,,,,,,,
132,2020-04-10,,,,,,,,,,,,
132,2020-04-11,,,,,,,,,,,,
132,2020-04-12,,,,,,,,,,,,
132,2020-04-13,,,,,,,,,,,,
132,2020-04-14,,,,,,,,,,,,
132,2020-04-15,,,,,,,,,,,,
132,2020-04-16,1.5,6.48,40.8,2.00016843523665,60.0236371277787,104.104507700992,110.031270949663,49.9786861999669,158.438894586579,3.75978310911044,22.2176506891586,79.0458605718848
132,2020-04-17,,,,,,,,,,,,
132,2020-04-18,,,,,,,,,,,,
132,2020-04-19,12,6.27,9.6,.368452080175173,8.49018551478449,21.1757116361584,18.2379173797359,6.91611062297193,50.336779665715,1.09980050130441,2.38634025920592,6.03822546035231
132,2020-04-20,,,,,,,,,,,,
132,2020-04-21,,,,,,,,,,,,
132,2020-04-22,,,,,,,,,,,,
132,2020-04-23,,,,,,,,,,,,
132,2020-04-24,,,,,,,,,,,,
132,2020-04-25,,,,,,,,,,,,
132,2020-04-26,,,,,,,,,,,,
132,2020-04-27,,,,,,,,,,,,
132,2020-04-28,,,,,,,,,,,,
132,2020-04-29,,,,,,,,,,,,
132,2020-04-30,,,,,,,,,,,,
132,2020-05-01,,,,,,,,,,,,
132,2020-05-02,4,5.95,16.8,1.15799225197911,28.347629376606,29.8685589871785,35.3099404977536,22.401238810255,59.373007733459,1.96941020001023,5.51326887471714,10.3797594690354
132,2020-05-03,,,,,,,,,,,,
132,2020-05-04,,,,,,,,,,,,
