지점,일시,합계 강수량(mm),산성도(pH),전기전도도(μS/cm),불산이온(F-)(μeq/L),염소이온(Cl-)(μeq/L),질산이온(NO3-)(μeq/L),황산이온(SO4-)(μeq/L),나트륨이온(Na+)(μeq/L),암모니아이온(NH4+)(μeq/L),칼륨이온(K+)(μeq/L),마그네슘이온(Mg2+)(μeq/L),칼슘이온(Ca2+)(μeq/L)
132,2024-01-03,1,3.79,234.2,6.632,634.338,521.264,335.653,512.836,425.091,2.123,141.946,121.513
132,2024-01-14,3,4.17,145.2,4.053,451.785,368.777,220.312,374.514,282.895,1.995,111.335,109.437
132,2024-01-17,19,4.71,15.1,.316,18.673,31.933,20.84,11.657,24.614,.665,5.76,5.29
132,2024-01-20,3,6.4,6.3,.368,10.239,10.241,7.745,5.872,36.588,.128,.741,.798
132,2024-02-04,13.5,5.11,24.3,.368,131.358,16.805,20.84,95.738,24.78,1.688,16.622,6.837
132,2024-02-05,7,6.4,6.3,.368,11.367,8.838,7.453,7.96,28.384,.46,2.633,3.693
132,2024-02-15,2,4.26,86.9,2.474,362.765,82.38,164.974,275.905,87.258,3.581,67.97,40.072
132,2024-02-18,30,5.58,9.5,.474,9.872,15.192,26.545,5.481,30.712,1.739,5.431,6.837
132,2024-02-20,13.5,6.31,6.3,.316,7.87,7.048,12.554,6.133,22.341,.614,3.127,9.282
132,2024-02-21,16.5,6.07,3.5,.158,5.444,5.338,3.539,3.349,15.023,.256,1.481,1.846
132,2024-02-22,1.5,6.37,7.3,.368,8.744,16.434,7.058,4.959,39.139,.128,.905,1.397
132,2024-02-24,6.5,6.4,6,.368,8.941,11.322,4.788,5.263,33.04,.128,.987,1.597
132,2024-03-25,25.5,6.83,6.6,.316,4.936,6.354,4.809,12.397,16.465,.716,4.279,17.316
132,2024-04-02,3,6.56,11,.632,10.211,15.837,22.152,11.44,50.891,.972,4.69,12.076
132,2024-04-03,1.5,6.39,9.1,.474,5.416,24.24,9.66,3.523,46.678,.716,3.374,6.936
132,2024-04-14,8.5,5.58,13.7,.632,55.849,11.87,23.235,47.369,24.004,1.688,11.438,12.825
132,2024-04-15,6.5,6.18,13.6,1.158,13.088,29.611,34.831,11.179,47.454,.972,9.545,27.297
132,2024-04-19,1,6.81,34,3.421,19.547,96.089,57.858,14.398,171.079,4.399,16.704,51.2
132,2024-04-20,9.5,6.4,6.8,.474,4.062,13.257,12.325,2.958,33.04,.793,3.127,9.631
132,2024-04-23,15.5,6.44,16.2,.632,12.242,37.513,32.104,11.962,81.437,2.813,5.76,15.22
132,2024-05-04,2,6.32,23.2,1.948,34.779,31.207,72.494,21.444,128.337,11.637,7.817,16.767
132,2024-05-05,31,5.43,5,.105,15.739,5.371,5.226,14.702,6.154,.818,3.621,4.89
132,2024-05-06,2.5,4.88,32.2,.526,67.047,94.492,35.435,59.853,94.409,3.657,17.774,23.404
132,2024-05-07,11,5.76,5.8,.947,7.164,12.257,8.973,6.568,25.39,.639,2.304,2.844
132,2024-05-11,22.5,4.74,28.6,.684,73.901,47.996,39.724,67.856,51.335,2.967,16.293,12.027
132,2024-05-15,7,6.24,32.5,1.421,79.373,68.688,52.153,64.768,139.147,4.578,14.976,26.898
132,2024-05-26,33,5.67,8.7,.316,20.506,15.692,14.574,17.312,30.435,.997,4.937,4.841
132,2024-06-07,4.5,5.74,21.4,1.158,30.04,32.465,69.537,21.792,103.39,2.558,7.735,10.13
132,2024-06-21,3.5,6.19,11.3,.737,10.831,26.224,17.114,7.656,63.032,1.714,.658,.349
132,2024-06-22,27,6.21,5.7,.368,2.764,12.967,10.368,1.87,34.704,.384,1.399,2.894
132,2024-06-29,29.5,5.36,6,.263,15.288,8.161,5.705,14.354,10.311,.537,3.538,4.89
132,2024-07-01,26,6.21,4.1,.158,7.193,6.645,2.769,6.481,17.795,.256,1.481,2.695
132,2024-07-02,13.5,5.12,8.4,.158,11.649,11.16,12.159,9.7,15.966,.46,3.538,4.342
132,2024-07-06,110,6.62,8.2,.579,10.747,12.16,10.368,9.613,54.439,.46,1.563,1.647
132,2024-07-07,45.5,5.78,6.3,.263,16.98,9.064,6.288,15.442,20.623,.46,3.95,1.946
132,2024-07-08,37,5.34,8.1,.474,17.883,11.967,9.827,15.268,19.846,.46,4.69,3.693
132,2024-07-09,99.5,5.53,2.8,.474,3.357,3.258,2.977,3.349,4.047,.128,1.152,2.545
132,2024-07-15,1,6.31,6.1,.368,4.739,11.257,7.932,4.437,27.164,1.586,2.633,6.537
132,2024-07-16,15.5,5.38,10.5,.526,27.304,16.853,11.159,22.793,27.829,.716,5.678,3.743
132,2024-07-17,33.5,4.69,22.8,3.106,54.495,25.353,21.028,46.89,29.437,1.279,11.109,6.687
132,2024-07-18,16.5,4.89,32.9,1.316,163.909,19.773,29.793,143.063,23.339,3.197,30.611,9.681
